Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Ano,Empresa
Operarios directos (produccion),187,0,1,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,2,1,2021,St Andrews
Jefes de Turno,0,2,1,2021,St Andrews
Supervisores Produccion,10,1,1,2021,St Andrews
Supervisores Calidad,3,0,1,2021,St Andrews
Monitores Calidad,24,2,1,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,26,10,1,2021,St Andrews
Tesorero,0,0,1,2021,St Andrews
Asistente Contabilidad,0,1,1,2021,St Andrews
Jefe RRHH,0,1,1,2021,St Andrews
Jefe de Adquisicion,0,1,1,2021,St Andrews
Prevencion de Riesgo,1,1,1,2021,St Andrews
Control de Gestion,0,0,1,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,28,1,1,2021,St Andrews
Operarios directos (produccion),198,0,2,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",59,2,2,2021,St Andrews
Jefes de Turno,0,2,2,2021,St Andrews
Supervisores Produccion,10,3,2,2021,St Andrews
Supervisores Calidad,3,0,2,2021,St Andrews
Monitores Calidad,24,2,2,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,26,11,2,2021,St Andrews
Tesorero,0,0,2,2021,St Andrews
Asistente Contabilidad,0,1,2,2021,St Andrews
Jefe RRHH,0,1,2,2021,St Andrews
Jefe de Adquisicion,0,1,2,2021,St Andrews
Prevencion de Riesgo,1,1,2,2021,St Andrews
Control de Gestion,0,0,2,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,28,1,2,2021,St Andrews
Operarios directos (produccion),196,0,3,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",61,2,3,2021,St Andrews
Jefes de Turno,0,2,3,2021,St Andrews
Supervisores Produccion,10,3,3,2021,St Andrews
Supervisores Calidad,4,0,3,2021,St Andrews
Monitores Calidad,24,2,3,2021,St Andrews
