Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Propia,2257413.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,St Andrews
Ingreso Materia Prima Neta Propia,1763480.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2020,St Andrews
Unidades por kilo mmpp propia*,61.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,St Andrews
Ingreso Materia Prima Terceros,1084872.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,St Andrews
Unidades por kilo mmpp terceros*,64.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,St Andrews
Ingreso Materia Prima Propia,2957168.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,St Andrews
Ingreso Materia Prima Neta Propia,2247137.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,St Andrews
Unidades por kilo mmpp propia*,57.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,St Andrews
Ingreso Materia Prima Terceros,977839.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,St Andrews
Unidades por kilo mmpp terceros*,58.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,St Andrews
Ingreso Materia Prima Propia,4175218.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,St Andrews
Ingreso Materia Prima Neta Propia,3273434.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2020,St Andrews
Unidades por kilo mmpp propia*,58.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,St Andrews
Ingreso Materia Prima Terceros,1048480.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,St Andrews
Unidades por kilo mmpp terceros*,60.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,St Andrews
Ingreso Materia Prima Propia,4357352.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,St Andrews
Ingreso Materia Prima Neta Propia,3433182.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2020,St Andrews
Unidades por kilo mmpp propia*,55.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,St Andrews
Ingreso Materia Prima Terceros,0.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,St Andrews
Unidades por kilo mmpp terceros*,0.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,St Andrews
Ingreso Materia Prima Propia,5337992.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,St Andrews
Ingreso Materia Prima Neta Propia,4536272.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2020,St Andrews
Unidades por kilo mmpp propia*,59.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,St Andrews
Ingreso Materia Prima Terceros,653854.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,St Andrews
Unidades por kilo mmpp terceros*,62.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,St Andrews
Ingreso Materia Prima Propia,6466206.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,St Andrews
Ingreso Materia Prima Neta Propia,5728102.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2020,St Andrews
Unidades por kilo mmpp propia*,60.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,St Andrews
Ingreso Materia Prima Terceros,835522.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,St Andrews
Unidades por kilo mmpp terceros*,62.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,St Andrews
Ingreso Materia Bruta Prima Propia,6271082.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,5491312.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,St Andrews
Unidades por kilo mmpp propia*,60.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,994591.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,St Andrews
Unidades por kilo mmpp terceros*,62.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2925309.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2516696.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,St Andrews
Unidades por kilo mmpp propia*,62.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,710357.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,St Andrews
Unidades por kilo mmpp terceros*,63.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,St Andrews
Ingreso Materia Bruta Prima Propia,139724.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,116906.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,St Andrews
Unidades por kilo mmpp propia*,74.6,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,409264.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2020,St Andrews
Unidades por kilo mmpp terceros*,66.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1210219.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,965927.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,St Andrews
Unidades por kilo mmpp propia*,58.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2714180.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,St Andrews
Unidades por kilo mmpp terceros*,60.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1858391.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1513207.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,St Andrews
Unidades por kilo mmpp propia*,56.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2552391.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,St Andrews
Unidades por kilo mmpp terceros*,57.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2414885,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1824267,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,St Andrews
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,1262754,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,St Andrews
Unidades por kilo mmpp terceros*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,St Andrews
Ingreso Materia Prima Propia,2673078,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,St Andrews
Ingreso Materia Prima Neta Propia,2040468,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,St Andrews
Ingreso Materia Prima Terceros,957132,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,St Andrews
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2581683,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1905055,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,1008930,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,St Andrews
Unidades por kilo mmpp terceros*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2436799,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1780147,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,St Andrews
Unidades por kilo mmpp propia*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,St Andrews
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3095647,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2609902,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,776388,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,St Andrews
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3301726,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2836277,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,721575,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3879797,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,3280465,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,928294,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1755695,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1386503,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,579888,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,St Andrews
Unidades por kilo mmpp terceros*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,St Andrews
Ingreso Materia Bruta Prima Propia,610500,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,479400,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2371672,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,St Andrews
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1473550,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1181568,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,St Andrews
Unidades por kilo mmpp propia*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,=1998305+14000,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,St Andrews
