Indicador,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Ingreso Materia Bruta Prima Propia,3907568,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,3311494,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1101308,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,912723,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,St Andrews
Ingreso Materia Bruta Prima Propia,5381908,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,4265191,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,822778,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,682415,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,St Andrews
Unidades por kilo mmpp terceros*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,St Andrews
Ingreso Materia Bruta Prima Propia,6313722,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,5179604,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1084571,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,939553,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,St Andrews
