Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Carne,50-100 UNI/KG,90,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,100-200 UNI/KG,137110,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,200-300 UNI/KG,354880,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,300-500 UNI/KG,76150,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,500-1000 UNI/KG,13320,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,INDUSTRIAL,42920,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,40-60 UNI/KG,2484,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,60-80 UNI/KG,29727,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,80-100 UNI/KG,1503,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,100 UP UNI/KG,27,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,NATURAL ,269445,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,CON SALSA ,43128,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,NATURAL 500 g,,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,CON SALSA 500 g,,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Rendimiento Olla mmpp Propia,,0.276,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2020,St Andrews
Rendimiento Olla mmpp Terceros,,0.251,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2020,St Andrews
Carne,50-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,100-200 UNI/KG,307720,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,200-300 UNI/KG,360000,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,300-500 UNI/KG,52200,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,500-1000 UNI/KG,5970,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,INDUSTRIAL,33040,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,40-60 UNI/KG,2835,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,60-80 UNI/KG,45360,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,80-100 UNI/KG,3852,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,NATURAL 1 kg,102540,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,CON SALSA 1 kg,,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,NATURAL 500 g,181235,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,CON SALSA 500 g,24580,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Rendimiento Olla mmpp Propia,,0.312,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2020,St Andrews
Rendimiento Olla mmpp Terceros,,0.26,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2020,St Andrews
Carne,50-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,100-200 UNI/KG,315590,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,200-300 UNI/KG,561650,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,300-500 UNI/KG,97190,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,500-1000 UNI/KG,17650,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,INDUSTRIAL,46960,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,40-60 UNI/KG,477,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,60-80 UNI/KG,37080,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,80-100 UNI/KG,7506,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,100 UP UNI/KG,27,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,NATURAL ,169895,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,CON SALSA ,20345,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,NATURAL 500 g,,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,CON SALSA 500 g,,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Rendimiento Olla mmpp Propia,,0.263,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2020,St Andrews
Rendimiento Olla mmpp Terceros,,0.236,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2020,St Andrews
Carne,50-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,100-200 UNI/KG,375090,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,200-300 UNI/KG,474854,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,300-500 UNI/KG,52632,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,500-1000 UNI/KG,8070,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,INDUSTRIAL,47210,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,NATURAL ,78341,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,CON SALSA ,27045,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,NATURAL 500 g,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,CON SALSA 500 g,,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Rendimiento Olla mmpp Propia,,0.277,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2020,St Andrews
Rendimiento Olla mmpp Terceros,,,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2020,St Andrews
Carne,50-100 UNI/KG,110,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,100-200 UNI/KG,328648,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,200-300 UNI/KG,705422,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,300-500 UNI/KG,125297,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,500-1000 UNI/KG,30090,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,INDUSTRIAL,56120,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,NATURAL ,149510,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,CON SALSA ,31089,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,NATURAL 500 g,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,CON SALSA 500 g,,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Rendimiento Olla mmpp Propia,,0.254,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2020,St Andrews
