Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Carne,50-100 UNI/KG,3420,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,100-200 UNI/KG,515410,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,200-300 UNI/KG,505390,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,300-500 UNI/KG,50820,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,500-1000 UNI/KG,8070,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,INDUSTRIAL,77360,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,40-60 UNI/KG,8613,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,60-80 UNI/KG,42822,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,80-100 UNI/KG,63,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,NATURAL,80377,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,CON SALSA,46692,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.3,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.229,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2021,St Andrews
Carne,50-100 UNI/KG,1580,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,100-200 UNI/KG,462170,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,200-300 UNI/KG,596390,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,300-500 UNI/KG,70540,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,500-1000 UNI/KG,11790,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,INDUSTRIAL,51270,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,40-60 UNI/KG,3690,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,60-80 UNI/KG,10809,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,80-100 UNI/KG,972,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,NATURAL,92503,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,CON SALSA,86492,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.251,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.263,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2021,St Andrews
Carne,50-100 UNI/KG,1400,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,100-200 UNI/KG,726810,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,200-300 UNI/KG,729310,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,300-500 UNI/KG,64580,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,500-1000 UNI/KG,11510,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,INDUSTRIAL,53590,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,40-60 UNI/KG,378,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,60-80 UNI/KG,1188,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,80-100 UNI/KG,225,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,100 UP UNI/KG,9,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,NATURAL,245417,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,CON SALSA,69030,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.266,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.27,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2021,St Andrews
Carne,50-100 UNI/KG,4550,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,100-200 UNI/KG,229230,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,200-300 UNI/KG,544424.49,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
