Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Año,Empresa
Operarios directos (producción),63,0,9,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",25,2,9,2021,Chonchi
Jefes de Turno,0,2,9,2021,Chonchi
Supervisores Producción,10,3,9,2021,Chonchi
Supervisores Calidad,4,0,9,2021,Chonchi
Monitores Calidad,17,2,9,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,23,11,9,2021,Chonchi
Tesorero,0,0,9,2021,Chonchi
Asistente Contabilidad,0,1,9,2021,Chonchi
Jefe RRHH,0,1,9,2021,Chonchi
Jefe de Adquisición,0,1,9,2021,Chonchi
Prevención de Riesgo,1,1,9,2021,Chonchi
Control de Gestión,0,0,9,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,20,1,9,2021,Chonchi
Operarios directos (producción),168,0,6,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",63,2,6,2021,Chonchi
Jefes de Turno,0,2,6,2021,Chonchi
Supervisores Producción,10,3,6,2021,Chonchi
Supervisores Calidad,4,0,6,2021,Chonchi
Monitores Calidad,17,2,6,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,28,11,6,2021,Chonchi
Tesorero,0,0,6,2021,Chonchi
Asistente Contabilidad,0,1,6,2021,Chonchi
Jefe RRHH,0,1,6,2021,Chonchi
Jefe de Adquisición,0,1,6,2021,Chonchi
Prevención de Riesgo,1,1,6,2021,Chonchi
Control de Gestión,0,0,6,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,34,1,6,2021,Chonchi
Operarios directos (producción),184,0,5,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",63,2,5,2021,Chonchi
Jefes de Turno,0,2,5,2021,Chonchi
Supervisores Producción,10,3,5,2021,Chonchi
Supervisores Calidad,4,0,5,2021,Chonchi
Monitores Calidad,21,2,5,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,28,11,5,2021,Chonchi
Tesorero,0,0,5,2021,Chonchi
Asistente Contabilidad,0,1,5,2021,Chonchi
Jefe RRHH,0,1,5,2021,Chonchi
Jefe de Adquisición,0,1,5,2021,Chonchi
Prevención de Riesgo,1,1,5,2021,Chonchi
Control de Gestión,0,0,5,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,34,1,5,2021,Chonchi
Operarios directos (producción),187,0,1,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,2,1,2021,Chonchi
Jefes de Turno,0,2,1,2021,Chonchi
Supervisores Producción,10,1,1,2021,Chonchi
Supervisores Calidad,3,0,1,2021,Chonchi
Monitores Calidad,24,2,1,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,26,10,1,2021,Chonchi
Tesorero,0,0,1,2021,Chonchi
Asistente Contabilidad,0,1,1,2021,Chonchi
Jefe RRHH,0,1,1,2021,Chonchi
Jefe de Adquisición,0,1,1,2021,Chonchi
Prevención de Riesgo,1,1,1,2021,Chonchi
Control de Gestión,0,0,1,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,28,1,1,2021,Chonchi
Operarios directos (producción),137,0,8,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",63,2,8,2021,Chonchi
Jefes de Turno,0,2,8,2021,Chonchi
Supervisores Producción,10,3,8,2021,Chonchi
Supervisores Calidad,4,0,8,2021,Chonchi
Monitores Calidad,17,2,8,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,23,11,8,2021,Chonchi
Tesorero,0,0,8,2021,Chonchi
Asistente Contabilidad,0,1,8,2021,Chonchi
Jefe RRHH,0,1,8,2021,Chonchi
Jefe de Adquisición,0,1,8,2021,Chonchi
Prevención de Riesgo,1,1,8,2021,Chonchi
Control de Gestión,0,0,8,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,30,1,8,2021,Chonchi
Operarios directos (producción),198,0,2,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",59,2,2,2021,Chonchi
Jefes de Turno,0,2,2,2021,Chonchi
Supervisores Producción,10,3,2,2021,Chonchi
Supervisores Calidad,3,0,2,2021,Chonchi
Monitores Calidad,24,2,2,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,26,11,2,2021,Chonchi
Tesorero,0,0,2,2021,Chonchi
