Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Carne,50-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Carne,100-200 UNI/KG,1870,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Carne,200-300 UNI/KG,11010,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Carne,300-500 UNI/KG,34650,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Carne,500-1000 UNI/KG,4550,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Carne,INDUSTRIAL,2600,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Entero,NATURAL,156014.69,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Entero,CON SALSA,31454.6,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.182,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,9,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.18,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,Chonchi
Carne,50-100 UNI/KG,4620,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Carne,100-200 UNI/KG,85610,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Carne,200-300 UNI/KG,260570,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Carne,300-500 UNI/KG,391210,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Carne,500-1000 UNI/KG,24190,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Carne,INDUSTRIAL,30970,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Entero,NATURAL,225805,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Entero,CON SALSA,40485,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.218,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.22,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,Chonchi
Carne,50-100 UNI/KG,9860,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Carne,100-200 UNI/KG,76192,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Carne,200-300 UNI/KG,456821.51,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Carne,300-500 UNI/KG,694348,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Carne,500-1000 UNI/KG,33410,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Carne,INDUSTRIAL,39750,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Entero,NATURAL,203268,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.229,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.237,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,Chonchi
Carne,50-100 UNI/KG,3420,Kilos,Kg netos del producto empacados en el mes*,1,2021,Chonchi
Carne,100-200 UNI/KG,515410,Kilos,Kg netos del producto empacados en el mes*,1,2021,Chonchi
Carne,200-300 UNI/KG,505390,Kilos,Kg netos del producto empacados en el mes*,1,2021,Chonchi
