,FECHA,PRODUCTO,EMPAQUE,PAIS,CALIBRE,CANTIDAD,PRECIO CFR,EMPRESA,SEMANA,TIPO VENTA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
0,2021-01-04 00:00:00,CARNE,GRANEL,Reino unido,C200-300,7870.0,2.9899999999999998,Camanchaca,1,,1,2021,Europa,Otros europa,Otros europa,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,2.9899999999999998,23531.3,2.9899999999999998
1,2021-01-05 00:00:00,ENTERO,RETAIL,United states,C20-35,15980.8,3.3075,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
2,2021-01-05 00:00:00,ENTERO,RETAIL,United states,C20-35,15980.8,3.31,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
3,2021-01-05 00:00:00,ENTERO,SIN SALSA,Japon,C50-70,15950.0,2.4,Camanchaca,1,,1,2021,Asia,Asia,Asia,Asia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,2.4,38280.0,2.4
4,2021-01-05 00:00:00,ENTERO,RETAIL,United states,C20-35,15980.8,1.5,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
5,2021-01-05 00:00:00,CARNE,GRANEL,Federacion rusa,C300-500,24000.0,2.949999999999997,Camanchaca,1,,1,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,2.949999999999997,70799.99999999993,2.949999999999997
6,2021-01-06 00:00:00,ENTERO,RETAIL,United states,C20-35,30281.8,1.4838461538461538,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
7,2021-01-06 00:00:00,ENTERO,RETAIL,United states,C20-35,30281.8,3.271880769230769,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
8,2021-01-06 00:00:00,CARNE,GRANEL,Federacion rusa,C300-500,24000.0,2.9500000000000015,Camanchaca,1,,1,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,2.9500000000000015,70800.00000000003,2.9500000000000015
9,2021-01-06 00:00:00,ENTERO,RETAIL,United states,C20-35,30281.8,3.27,Camanchaca,1,,1,2021,America,America,America,America,,ENTERORETAIL,,,,,
10,2021-01-07 00:00:00,ENTERO,SIN SALSA,Italia,C60-80,19200.0,1.9000000000000001,Camanchaca,1,,1,2021,Europa,Italia,Italia,Italia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.9000000000000001,36480.0,1.9000000000000001
11,2021-01-07 00:00:00,ENTERO,SIN SALSA,United states,C20-35,18669.0,2.01,Camanchaca,1,,1,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,2.01,37524.689999999995,2.01
