,FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MONTO CFR,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
0,2020-01-06,CARNE,GRANEL,C200-300,20957.88193201071,1.6024404354800683,SPOT,Bielorrusia,Data Mussel,2,,1,2020,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.6024404354800683,33583.7574498711,1.6024404354800683
1,2020-01-06,ENTERO,SIN SALSA,C40-60,16270.442059097195,1.1106569914879094,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.1106569914879094,18070.880227535235,1.1106569914879094
2,2020-01-06,ENTERO,SIN SALSA,E23-32,14402.065937478379,1.1603879015545324,SPOT,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.1603879015545324,16711.983071240546,1.1603879015545324
3,2020-01-06,ENTERO,SIN SALSA,E23-29,15440.052671711053,1.0885543647916327,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0885543647916327,16807.336728403778,1.0885543647916327
4,2020-01-07,CARNE,RETAIL COMPENSADO,C200-300,3892.450253372535,2.707571770293909,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,CARNE RETAIL,CARNERETAIL COMPENSADO,0.0,0.1,2.436814593264518,9485.179580974363,3.008413078104343
5,2020-01-07,CARNE,RETAIL COMPENSADO,C200-300,2162.4723629847417,1.86767195583539,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,CARNE RETAIL,CARNERETAIL COMPENSADO,0.0,0.1,1.680904760251851,3634.910088854121,2.0751910620393224
6,2020-01-07,ENTERO,SIN SALSA,E23-29,3416.7063335158914,0.9504129479399026,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9504129479399026,3247.2819386817746,0.9504129479399026
7,2020-01-07,ENTERO,SIN SALSA,E23-29,5073.160163562204,0.9504129479399026,PROGRAMA,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9504129479399026,4821.597106422432,0.9504129479399026
8,2020-01-08,ENTERO,CON SALSA,E23-32,14729.031758761672,1.536132555391238,SPOT,Usa,Data Mussel,2,,1,2020,America,America,America,America,ENTERO CON SALSA,ENTEROCON SALSA,0.0,0.0,1.536132555391238,22625.745194025265,1.536132555391238
9,2020-01-08,CARNE,GRANEL,C300-500,4763.1549845478885,1.4919273019986845,SPOT,Russia,Data Mussel,2,,1,2020,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4919273019986845,7106.280965098117,1.4919273019986845
